tokenizer_name,num_of_tokens
pan-tadeusz,926941
wolnelektury,824016
all-corpora-16k,803898
all-corpora,741986
bielik-v3,729254
nkjp,725407
all-corpora-50k,705431
nkjp-50k,688678
bielik-v1,503669
bielik-v2,503668
deep-seek-v3,448795
